Endpoint               Methods    Rule                                                                         
---------------------  ---------  -----------------------------------------------------------------------------
about                  GET        /about                                                                       
app_homepage           GET        /                                                                            
auth.change_password   GET, POST  /auth/change-password                                                        
auth.login             GET, POST  /auth/login                                                                  
auth.logout            GET, POST  /auth/logout                                                                 
auth.register          GET, POST  /auth/register                                                               
auth.user_list         GET, POST  /auth/users                                                                  
ctools.static          GET        /ctools/static/ctools/<path:filename>                                        
ctools.status          GET        /ctools/status                                                               
index                  GET        /index                                                                       
menu.create_group      GET        /menu/Gcreate/<int:group_id>/<group_name>/<group_info>                       
menu.create_menu       GET        /menu/create/<int:menu_group>/<int:menu_num>/<int:from_group>/<int:from_menu>
menu.create_menu       GET        /menu/create/<int:menu_group>/<int:menu_num>                                 
menu.edit_menu         GET, POST  /menu/edit/<int:group_id>/<int:menu_num>                                     
menu.edit_menu_init    GET        /menu/editmenu                                                               
menu.form_browse       GET        /menu/formbrowse/<formname>                                                  
menu.handle_command    GET        /menu/command/<int:command_num>/<command_arg>                                
menu.load_menu         GET        /menu/load/<int:menu_group>/<int:menu_num>                                   
menu.remove_menu       GET        /menu/remove/<int:menu_group>/<int:menu_num>                                 
menu.show_table        GET        /menu/showtable/<tblname>                                                    
static                 GET        /assets/<path:filename>                                                      
utils.edit_parameters  GET, POST  /utils/parameters                                                            
utils.greetings        GET, POST  /utils/greetings                                                             
utils.run_sql          GET, POST  /utils/sql                                                                   
